"Pergunta","Alternativa A","Alternativa B","Alternativa C","Alternativa D","Resposta"
"Qual linguagem é mais usada para back-end?","JavaScript","Python","Go","Ruby",3
"Qual banco de dados é relacional?","MongoDB","PostgreSQL","Redis","Cassandra",2
"Qual protocolo é usado para comunicação web?","HTTP","FTP","SMTP","SSH",1
"Qual estrutura de dados usa LIFO?","Fila","Lista","Pilha","Árvore",3
"Qual destes não é um sistema operacional?","Linux","Windows","Docker","macOS",3
"Qual linguagem é conhecida por sua performance em sistemas concorrentes?","Python","Go","PHP","Swift",2
"O que significa SQL?","Structured Query Language","System Query Logic","Simple Query Language","Standard Question Language",1
"Qual destas linguagens é mais utilizada para Data Science?","C","Java","Python","Ruby",3
"Qual comando é usado para clonar um repositório Git?","git commit","git clone","git push","git merge",2
"O que significa HTTP?","HyperText Transfer Protocol","High Transfer Text Protocol","Hyperlink Transmission Process","Host Transfer Technology Protocol",1
"Qual destas linguagens roda na JVM?","C","Java","Python","Rust",2
"O que é REST?","Um banco de dados","Um framework","Um estilo de arquitetura","Uma linguagem de programação",3
"Qual destas tecnologias é usada para contêineres?","Docker","React","Apache","Nginx",1
"Qual destas linguagens é mais usada para scripts de automação?","C++","Swift","Bash","C#",3
"Qual destes bancos de dados é NoSQL?","PostgreSQL","MySQL","MongoDB","SQLite",3
"Qual destes protocolos é usado para e-mails?","SMTP","HTTPS","SSH","DNS",1
"Qual destes não é um framework JavaScript?","React","Vue","Django","Angular",3
"Qual é a principal função do DNS?","Armazenar dados","Resolver nomes de domínio","Criptografar conexões","Gerenciar tráfego de rede",2
"Qual destes formatos é usado para troca de dados entre APIs?","JSON","JPEG","MP3","PDF",1